pubmed_id|name
19968660|http://purl.obolibrary.org/obo/HP_0003002
18510707|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
18581219|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
120116|http://purl.obolibrary.org/obo/HP_0009919
22371735|http://purl.obolibrary.org/obo/DOID_6457
23109653|http://purl.obolibrary.org/obo/HP_0009733
23109653|http://purl.obolibrary.org/obo/HP_0009919
20349131|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
20349131|http://purl.obolibrary.org/obo/HP_0010566
20565722|http://purl.obolibrary.org/obo/DOID_6457
20580873|http://purl.obolibrary.org/obo/DOID_6457
20580873|http://purl.obolibrary.org/obo/HP_0010566
18855126|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
24529329|http://purl.bioontology.org/ontology/OMIM/114500
2012779|http://purl.obolibrary.org/obo/HP_0009919
19029836|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
24570042|http://purl.bioontology.org/ontology/OMIM/114500
11898356|http://purl.obolibrary.org/obo/HP_0009919
24560515|http://purl.bioontology.org/ontology/OMIM/114500
24582914|http://purl.bioontology.org/ontology/OMIM/114500
24585723|http://purl.bioontology.org/ontology/OMIM/114500
24594115|http://purl.bioontology.org/ontology/OMIM/114500
24594804|http://purl.bioontology.org/ontology/OMIM/114500
12670889|http://purl.obolibrary.org/obo/DOID_3969
24626880|http://purl.bioontology.org/ontology/OMIM/114500
16007166|http://purl.obolibrary.org/obo/DOID_3969
24651849|http://purl.bioontology.org/ontology/OMIM/114500
24658074|http://purl.bioontology.org/ontology/OMIM/114500
16784981|http://purl.obolibrary.org/obo/DOID_3969
24659028|http://purl.bioontology.org/ontology/OMIM/114500
24659889|http://purl.bioontology.org/ontology/OMIM/114500
17464312|http://purl.obolibrary.org/obo/DOID_3969
24666267|http://purl.bioontology.org/ontology/OMIM/114500
24676216|http://purl.bioontology.org/ontology/OMIM/114500
17685465|http://purl.obolibrary.org/obo/DOID_3969
17956956|http://purl.obolibrary.org/obo/DOID_3969
24687927|http://purl.bioontology.org/ontology/OMIM/114500
24691006|http://purl.bioontology.org/ontology/OMIM/114500
18382358|http://purl.obolibrary.org/obo/DOID_3969
19690177|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D000230
18393366|http://purl.obolibrary.org/obo/DOID_3969
24692733|http://purl.bioontology.org/ontology/OMIM/114500
19493635|http://purl.obolibrary.org/obo/DOID_3969
24700299|http://purl.bioontology.org/ontology/OMIM/114500
20711688|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D000230
20711688|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
20876795|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
24722974|http://purl.bioontology.org/ontology/OMIM/114500
21568726|http://purl.obolibrary.org/obo/DOID_3969
24728704|http://purl.bioontology.org/ontology/OMIM/114500
24737664|http://purl.bioontology.org/ontology/OMIM/114500
22181337|http://purl.obolibrary.org/obo/DOID_3969
22524468|http://purl.obolibrary.org/obo/DOID_3969
22549559|http://purl.obolibrary.org/obo/DOID_3969
22592144|http://purl.obolibrary.org/obo/DOID_3969
22887810|http://purl.obolibrary.org/obo/DOID_3969
22997209|http://purl.obolibrary.org/obo/DOID_3969
21934105|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D000230
21934105|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
21975290|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
21989927|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
22368299|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
10682686|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
10682686|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
10686936|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
10686936|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010386
10827109|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
10827109|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
23099806|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
23107772|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
23187834|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
23187834|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D021441
23456555|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
11927492|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
11927492|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
11720839|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
11720839|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
12197480|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
23851432|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D000230
23851432|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
23658460|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010190
23658460|http://purl.obolibrary.org/obo/DOID_299
16234499|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
16234499|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
16271956|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
16448223|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
21552938|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
21460723|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
21508141|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
16616110|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
16616110|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
21516053|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
21559934|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
21559934|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D030321
21614510|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
21614510|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D030321
21851196|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
21851196|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D030321
21888862|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
16843109|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
16843109|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
22409817|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
22437966|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
22461142|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
22470196|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
22476187|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
22585769|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D005923
22585769|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
22585769|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D017624
22796116|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
22800892|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
17148771|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
17148771|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
22876585|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
22876585|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D030321
22952427|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009396
10523726|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
10523726|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
11102977|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
11102977|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
11102986|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D001943
11102986|http://phenomebrowser.net/ontologies/mesh/mesh.owl#D010051
24743706|http://purl.bioontology.org/ontology/OMIM/114500
24755613|http://purl.bioontology.org/ontology/OMIM/114500
24764675|http://purl.bioontology.org/ontology/OMIM/114500
24768606|http://purl.bioontology.org/ontology/OMIM/114500
24772300|http://purl.bioontology.org/ontology/OMIM/114500
24798160|http://purl.bioontology.org/ontology/OMIM/114500
24805134|http://purl.bioontology.org/ontology/OMIM/114500
24806288|http://purl.bioontology.org/ontology/OMIM/114500
24806883|http://purl.bioontology.org/ontology/OMIM/114500
24832158|http://purl.bioontology.org/ontology/OMIM/114500
24833563|http://purl.bioontology.org/ontology/OMIM/114500
24841357|http://purl.bioontology.org/ontology/OMIM/114500
24849572|http://purl.bioontology.org/ontology/OMIM/114500
24859797|http://purl.bioontology.org/ontology/OMIM/114500
24859998|http://purl.bioontology.org/ontology/OMIM/114500
24861115|http://purl.bioontology.org/ontology/OMIM/114500
24861917|http://purl.bioontology.org/ontology/OMIM/114500
24863535|http://purl.bioontology.org/ontology/OMIM/114500
24885690|http://purl.bioontology.org/ontology/OMIM/MTHU036783
24889488|http://purl.bioontology.org/ontology/OMIM/114500
24908142|http://purl.bioontology.org/ontology/OMIM/114500
24915895|http://purl.bioontology.org/ontology/OMIM/114500
24918610|http://purl.bioontology.org/ontology/OMIM/114500
24921639|http://purl.bioontology.org/ontology/OMIM/114500
24925223|http://purl.bioontology.org/ontology/OMIM/114500
24925349|http://purl.bioontology.org/ontology/OMIM/114500
24935059|http://purl.bioontology.org/ontology/OMIM/114500
24940606|http://purl.bioontology.org/ontology/OMIM/114500
24942275|http://purl.bioontology.org/ontology/OMIM/114500
24942334|http://purl.bioontology.org/ontology/OMIM/114500
24947927|http://purl.bioontology.org/ontology/OMIM/114500
24954356|http://purl.bioontology.org/ontology/OMIM/114500
24961182|http://purl.bioontology.org/ontology/OMIM/114500
24964758|http://purl.bioontology.org/ontology/OMIM/114500
24968756|http://purl.bioontology.org/ontology/OMIM/114500
24990411|http://purl.bioontology.org/ontology/OMIM/114500
25005754|http://purl.bioontology.org/ontology/OMIM/114500
25009008|http://purl.bioontology.org/ontology/OMIM/114500
25010701|http://purl.bioontology.org/ontology/OMIM/114500
25013126|http://purl.bioontology.org/ontology/OMIM/114500
25014730|http://purl.bioontology.org/ontology/OMIM/114500
25050586|http://purl.bioontology.org/ontology/OMIM/114500
25053682|http://purl.bioontology.org/ontology/OMIM/114500
25057166|http://purl.bioontology.org/ontology/OMIM/114500
25069797|http://purl.bioontology.org/ontology/OMIM/114500
25073438|http://purl.bioontology.org/ontology/OMIM/MTHU036783
25079330|http://purl.bioontology.org/ontology/OMIM/114500
25083765|http://purl.bioontology.org/ontology/OMIM/114500
25119972|http://purl.bioontology.org/ontology/OMIM/114500
